Top@k,recall
1,0.35208333333333336
2,0.40208333333333335
3,0.45208333333333334
4,0.47708333333333336
5,0.5104166666666666
6,0.5270833333333333
7,0.5375
8,0.5479166666666667
9,0.5625
10,0.5729166666666666
20,0.6541666666666667
30,0.6916666666666667
50,0.725
100,0.7770833333333333
