Top@k,manual_efforts
1,1.0
2,1.6479166666666667
3,2.245833333333333
4,2.79375
5,3.314583333333333
6,3.8041666666666667
7,4.277083333333334
8,4.739583333333333
9,5.191666666666666
10,5.629166666666666
20,9.516666666666667
30,12.759375
50,18.576041666666665
100,31.186458333333334
