k,recall,manual_effort,MRR
1,0.0,1.0,0.7403311011904762
2,0.7385416666666667,1.2541666666666667,0.7403311011904762
3,0.7395833333333334,1.5083333333333333,0.7403311011904762
4,0.740625,1.7625,0.7403311011904762
5,0.7416666666666667,2.0166666666666666,0.7403311011904762
6,0.7427083333333333,2.2708333333333335,0.7403311011904762
7,0.74375,2.525,0.7403311011904762
8,0.7447916666666666,2.779166666666667,0.7403311011904762
9,0.7458333333333333,3.033333333333333,0.7403311011904762
10,0.7458333333333333,3.2875,0.7403311011904762
20,0.7458333333333333,5.829166666666667,0.7403311011904762
30,0.7458333333333333,8.370833333333334,0.7403311011904762
50,0.7458333333333333,13.454166666666667,0.7403311011904762
100,0.7458333333333333,26.1625,0.7403311011904762
