k,recall,manual_effort,MRR
1,0.0,1.0,0.13439552871467345
2,0.07663583675096833,1.89375,0.13439552871467345
3,0.11785500683527,2.7583333333333333,0.13439552871467345
4,0.1535186213640161,3.589583333333333,0.13439552871467345
5,0.17251556922609554,4.40625,0.13439552871467345
6,0.18439446153261943,5.210416666666666,0.13439552871467345
7,0.19662057606136554,6.004166666666666,0.13439552871467345
8,0.20884669059011163,6.7875,0.13439552871467345
9,0.2252890749601276,7.55625,0.13439552871467345
10,0.2417314593301435,8.308333333333334,0.13439552871467345
20,0.30833333333333335,15.475,0.13439552871467345
30,0.34791666666666665,22.172916666666666,0.13439552871467345
50,0.3854166666666667,34.74375,0.13439552871467345
100,0.6177083333333333,61.78125,0.13439552871467345
