k,recall,manual_effort,MRR
1,0.0,1.0,0.41464606390494935
2,0.35260416666666666,1.64375,0.41464606390494935
3,0.42604166666666665,2.214583333333333,0.41464606390494935
4,0.45364583333333336,2.7583333333333333,0.41464606390494935
5,0.4666666666666667,3.2895833333333333,0.41464606390494935
6,0.48802083333333335,3.8,0.41464606390494935
7,0.49270833333333336,4.30625,0.41464606390494935
8,0.5057291666666667,4.8,0.41464606390494935
9,0.5208333333333334,5.279166666666667,0.41464606390494935
10,0.5270833333333333,5.752083333333333,0.41464606390494935
20,0.55703125,10.314583333333333,0.41464606390494935
30,0.575,14.63125,0.41464606390494935
50,0.5916666666666667,22.91875,0.41464606390494935
100,0.59375,43.2375,0.41464606390494935
