k,recall,manual_effort,MRR
1,0.0,1.0,0.1383794575634422
2,0.07472611452874611,1.8979166666666667,0.1383794575634422
3,0.12028556239082554,2.7583333333333333,0.1383794575634422
4,0.15126167691957165,3.59375,0.1383794575634422
5,0.1815433470038733,4.402083333333334,0.1383794575634422
6,0.19272779486595276,5.197916666666667,0.1383794575634422
7,0.2044330760613655,5.983333333333333,0.1383794575634422
8,0.2255133572567783,6.747916666666667,0.1383794575634422
9,0.2438654638490165,7.495833333333334,0.1383794575634422
10,0.2601342371079213,8.229166666666666,0.1383794575634422
20,0.3375,15.1625,0.1383794575634422
30,0.38125,21.516666666666666,0.1383794575634422
50,0.44583333333333336,33.2,0.1383794575634422
100,0.6182291666666667,56.63125,0.1383794575634422
