k,recall,manual_effort,MRR
1,0.7700520833333333,0.009114583333333334,0.7726528397817459
2,0.7713541666666667,0.016927083333333332,0.7726528397817459
3,0.7747395833333334,0.021354166666666667,0.7726528397817459
4,0.7760416666666666,0.024479166666666666,0.7726528397817459
5,0.7768229166666667,0.026822916666666665,0.7726528397817459
6,0.7776041666666667,0.028385416666666666,0.7726528397817459
7,0.7783854166666667,0.029166666666666667,0.7726528397817459
8,0.7791666666666667,0.029166666666666667,0.7726528397817459
9,0.7791666666666667,0.029166666666666667,0.7726528397817459
10,0.7791666666666667,0.029166666666666667,0.7726528397817459
20,0.7791666666666667,0.029166666666666667,0.7726528397817459
30,0.7791666666666667,0.029166666666666667,0.7726528397817459
50,0.7791666666666667,0.029166666666666667,0.7726528397817459
100,0.7791666666666667,0.029166666666666667,0.7726528397817459
