k,recall,manual_effort,MRR
1,0.0,1.0,0.7719583953373016
2,0.76796875,1.225,0.7719583953373016
3,0.7734375,1.4458333333333333,0.7719583953373016
4,0.7747395833333334,1.6666666666666667,0.7719583953373016
5,0.7760416666666666,1.8875,0.7719583953373016
6,0.7768229166666667,2.1083333333333334,0.7719583953373016
7,0.7776041666666667,2.3291666666666666,0.7719583953373016
8,0.7783854166666667,2.55,0.7719583953373016
9,0.7791666666666667,2.7708333333333335,0.7719583953373016
10,0.7791666666666667,2.9916666666666667,0.7719583953373016
20,0.7791666666666667,5.2,0.7719583953373016
30,0.7791666666666667,7.408333333333333,0.7719583953373016
50,0.7791666666666667,11.825,0.7719583953373016
100,0.7791666666666667,22.866666666666667,0.7719583953373016
