cve,rank
CVE-2012-2776,1.0
CVE-2012-2777,1.0
CVE-2012-2779,1.0
CVE-2012-2783,1.0
CVE-2012-2784,1.0
CVE-2012-2786,1.0
CVE-2012-2787,1.0
CVE-2012-2788,1.0
CVE-2012-2789,1.0
CVE-2012-2790,1.0
CVE-2012-2791,1.0
CVE-2012-2793,1.0
CVE-2012-2794,1.0
CVE-2012-2796,1.0
CVE-2012-2797,1.0
CVE-2012-2798,1.0
CVE-2012-2800,1.0
CVE-2012-2801,1.0
CVE-2012-2802,1.0
CVE-2012-2803,1.0
CVE-2012-2804,1.0
CVE-2012-3363,1.0
CVE-2012-3364,1.0
CVE-2012-3375,1.0
CVE-2012-3400,3.0
CVE-2012-3412,3.0
CVE-2012-3430,4.0
CVE-2012-3501,20.0
CVE-2012-3510,1.0
CVE-2012-3511,1.0
CVE-2012-3520,1.0
CVE-2012-3525,59.0
CVE-2012-3552,4866.0
CVE-2012-4219,67.0
CVE-2012-4444,2.0
CVE-2012-4467,1.0
CVE-2012-4508,21.0
CVE-2012-4530,2.0
CVE-2012-4565,1.0
CVE-2012-5116,2804.0
CVE-2012-5374,23.0
CVE-2012-5375,4.0
CVE-2012-5517,5.0
CVE-2012-5532,1.0
CVE-2012-6075,1.0
CVE-2012-6084,99.0
CVE-2012-6112,1.0
CVE-2012-6113,3.0
CVE-2012-6536,1.0
CVE-2012-6537,5.0
CVE-2012-6538,3.0
CVE-2012-6539,1.0
CVE-2012-6540,1.0
CVE-2012-6541,1.0
CVE-2012-6542,3.0
CVE-2012-6543,1.0
CVE-2012-6544,16.0
CVE-2012-6545,5.0
CVE-2012-6546,9.0
CVE-2012-6547,1.0
CVE-2012-6548,1.0
CVE-2012-6549,1.0
CVE-2012-6617,1.0
CVE-2012-6618,2.0
CVE-2012-6638,1.0
CVE-2012-6647,1.0
CVE-2012-6657,2.0
CVE-2012-6689,1.0
CVE-2012-6696,507.0
CVE-2012-6697,56.0
CVE-2012-6701,2.0
CVE-2012-6703,1.0
CVE-2012-6704,1.0
CVE-2012-6712,1.0
CVE-2013-0166,102.0
CVE-2013-0169,86.0
CVE-2013-0178,179.0
CVE-2013-0211,245.0
CVE-2013-0216,7.0
CVE-2013-0217,14.0
CVE-2013-0250,1.0
CVE-2013-0268,1.0
CVE-2013-0281,506.0
CVE-2013-0290,1.0
CVE-2013-0310,1.0
CVE-2013-0311,1.0
CVE-2013-0313,7.0
CVE-2013-0349,1.0
CVE-2013-0844,1.0
CVE-2013-0845,17.0
CVE-2013-0846,1.0
CVE-2013-0848,1.0
CVE-2013-0849,1.0
CVE-2013-0850,2.0
CVE-2013-0851,1.0
CVE-2013-0852,1.0
CVE-2013-0853,1.0
CVE-2013-0854,1.0
CVE-2013-0855,1.0
CVE-2013-0856,1.0
CVE-2013-0857,1.0
CVE-2013-0858,1.0
CVE-2013-0860,1.0
CVE-2013-0865,1.0
CVE-2013-0866,1.0
CVE-2013-0867,1.0
CVE-2013-0868,2.0
CVE-2013-0869,2.0
CVE-2013-0871,3.0
CVE-2013-0873,1.0
CVE-2013-0894,1.0
CVE-2013-0914,1.0
CVE-2013-1415,1.0
CVE-2013-1416,1.0
CVE-2013-1417,1.0
CVE-2013-1418,1.0
CVE-2013-1428,1.0
CVE-2013-1439,570.0
CVE-2013-1635,24.0
CVE-2013-1643,100.0
CVE-2013-1763,1.0
CVE-2013-1767,1.0
CVE-2013-1772,1.0
CVE-2013-1773,458.0
CVE-2013-1774,167.0
CVE-2013-1792,1.0
CVE-2013-1796,1.0
CVE-2013-1797,6.0
CVE-2013-1798,1.0
CVE-2013-1819,3.0
CVE-2013-1824,26.0
CVE-2013-1826,1.0
CVE-2013-1828,1.0
CVE-2013-1830,1.0
CVE-2013-1831,46.0
CVE-2013-1832,1.0
CVE-2013-1833,1591.0
CVE-2013-1834,1.0
CVE-2013-1835,360.0
CVE-2013-1836,519.0
CVE-2013-1848,1.0
CVE-2013-1858,1.0
CVE-2013-1860,4.0
CVE-2013-1928,1.0
CVE-2013-1929,1.0
CVE-2013-1943,1.0
CVE-2013-1944,24.0
CVE-2013-1956,1.0
CVE-2013-1957,1.0
CVE-2013-1958,1.0
CVE-2013-1959,2.0
CVE-2013-2015,1.0
CVE-2013-2016,193.0
CVE-2013-2017,1.0
CVE-2013-2020,144.0
