Top@k,recall
1,0.11875
2,0.16875
3,0.19583333333333333
4,0.20833333333333334
5,0.22083333333333333
6,0.225
7,0.23541666666666666
8,0.25
9,0.25833333333333336
10,0.2604166666666667
20,0.33125
30,0.3625
50,0.42083333333333334
100,0.49375
